year,filename,abstract_extraction_status,energy_goal,energy_quote,software_contribution,software_quote,evaluation_method,evaluation_quote,recommendation,justification,error
2022,1-s2.0-S2214860422004407-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,1-s2.0-S2352484722001330-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,1-s2.0-S2352484722015098-main.pdf,Success,Improve the efficiency of energy pipeline maintenance,pipe robot can improve the efficiency of energy pipeline maintenance to ensure the integrity of energy pipelines and avoid potentially catastrophic failures.,Development of a low-cost articulated robot system,this paper develops a low-cost articulated robot system on the basis of extracting the common requirements of energy pipe robot application technology,Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any evaluation method for the developed robot system, which is a requirement for inclusion (i4).",
2022,10-1108_ir-08-2021-0172.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Empirical assessment,Experiments show that the proposed hopping mechanism can make a 250g spherical robot jump up to 58cm with the take-off angle of 60°.,Exclude,"The abstract does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2022,10.1515_auto-2022-0058.pdf,Success,Not Mentioned,Not Mentioned,The study focuses on the use of robotics and software in the decommissioning process of nuclear power plants.,"In this contribution, a robot-based closed chain is presented as an important component for an automation and digitalization of the decommissioning process of a nuclear power plant.",Not Mentioned,Not Mentioned,Exclude,The study does not meet the inclusion criteria i2 (focus on energy efficiency) and i4 (provides a certain level of evaluation). The abstract does not mention any focus on energy efficiency nor does it mention any evaluation method.,
2022,10.30521-jes.1021838-2074589.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not provide any information about the focus on robotics, energy efficiency, or software aspects of the robotic system. There is also no mention of any evaluation method or peer-review process.",
2022,13984-Article Text-51828-1-10-20220311.pdf,Success,Not Mentioned,Not Mentioned,"The study focuses on the development of a cognitive architecture for robots operating in nuclear power plants, incorporating artificial intelligence and simulations.",the cognitive architecture is investigated for the environment of accident areas is very harsh and nearly non-management in the nuclear power plant (npp) site in which artificial intelligence (ai) is incorporated.,The study uses simulations to evaluate the cognitive architecture and robot intelligence algorithm.,"and accident are modeled for the simulations incorporated with the robot intelligence algorithm, where random sampling plays a major role in the quantifications.",Exclude,"While the study focuses on robotics and software aspects, it does not explicitly focus on energy efficiency, thus failing to meet inclusion criterion i2.",
2022,2022_03-04_70.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,22062501.pdf,Success,Wireless power transmission for a gastrointestinal capsule robot,wireless power transmission system (wpts) based on electromagnetic induction is a promising way to power a gastrointestinal capsule robot (cr) for wireless diagnosis,Not Mentioned,Not Mentioned,Simulated and experimental outcomes,simulated and experimental outcomes are implemented to achieve the desired magnetic (cid:12)eld strength and direction by changing the transmission current of ptc,Exclude,"The abstract focuses on energy efficiency in robotics, but does not explicitly mention any software aspects of the robotic system.",
2022,3498361.3539775.pdf,Success,Design and implementation of an ultra-low-power spatial sensing system for miniature mobile robots,"this paper presents the design and implementation of spidr, an ultra-low-power spatial sensing system for miniature mobile robots.",Development of a power-aware depth-map reconstruction algorithm,thesystemreceivesalinearcombinationofthe re￿ectionsfromnearbyobjectsandappliesanovelpower-aware depth-mapreconstructionalgorithm.,Empirical assessment of the system's power consumption and structural similarity score with the scene,"spidr consumes only 10<, of power to generate a depth-map in real-world scenario with over 80% structural similarity score with the scene.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2022,3584376.3584415.pdf,Success,Not Mentioned,Not Mentioned,The paper discusses the design and implementation of a robot program for power grid dispatching data report. The program uses a robot process automation (RPA) tool for data capture and fusion.,"thedesignidea,systemarchitectureandimplementationmethod ofarobotprogramforpowergriddispatchingdatareportareintro- duced.programmingwithuibot,arobotprocessautomation(rpa) tool,storingandfusingdatawithwpstables,andusinginternetex- plorerandpcversionofwechatasthemediafordatacapture",Not Mentioned,Not Mentioned,Exclude,"The abstract does not meet the inclusion criteria i2 (focus on energy efficiency) and i4 (provides a certain level of evaluation). The focus of the paper is on the design and implementation of a robot program for power grid dispatching data report, not on energy efficiency. Furthermore, there is no mention of any evaluation method used in the study.",
2022,428493-iot-based-crack-detecting-obstacle-detec-3c4cbf09.pdf,Success,Energy efficiency,the device also has energy minimizing technique in the railway compartment.,Robotics software,all the status from the sensors will be updated to the specific iot website.,Not Mentioned,Not Mentioned,Exclude,"The abstract does not provide any information about the evaluation of the proposed system. Therefore, it does not meet the inclusion criterion i4.",
2022,978-3-030-88751-3_20.pdf,Success,Energy optimization of a five-bar linkage when performing pick and place tasks,thepresentresearchworkstudiestheenergyoptimizationofafive-barlinkage whenperformingpickandplacetasks,Not Mentioned,Not Mentioned,Experimental results and simulations,"theexperimentalresults,regardingthefreevibrationtrajectory, encouragetheadequateimplementationofthecalculatedspringsintheprototype. moreover,theresultsofthesimulations,regardingthenewmethod,indicatethe versatilityofthesystemifthenominaltaskchanges.",Exclude,"While the study focuses on energy efficiency in robotics, it does not explicitly mention any software aspects of the robotic system, failing to meet inclusion criterion i3.",
2022,978-3-031-19211-1_18.pdf,Success,Not Mentioned,Not Mentioned,A novel tag recognition algorithm based on trajectory matching,"according to the topological relationship of tags, we propose a novel tag recognition algorithm based on trajectory matching to determine which tag the robot is under.",Experimental results,"finally, we implemented minetag and evaluated its performance in a real coal mine. experimental results show that minetag can achieve the tag recognition accuracy of more than 95%, and the localization accuracy is 98% error of 2.6m or less.",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2022,978-3-031-47946-5_12.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not meet any of the inclusion criteria. It does not focus on robotics, energy efficiency, or software aspects of the robotic system. There is also no mention of an evaluation method or if the study is peer-reviewed.",
2022,978-981-16-7167-8_46.pdf,Success,Not Mentioned,Not Mentioned,"The paper discusses a technique that incorporates image texture analysis using popular gray-level co-occurrence matrices (GLCM) algorithm for obstacle detection and then, followed by standard machine learning approach to classify the obstacles.","this paper discusses a technique that incorporates image texture analysis using popular gray-level co-occurrence matrices (GLCM) algorithm for obstacle detection and then, followed by standard machine learning approach to classify the obstacles.",Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any focus on energy efficiency (i2), nor does it provide any form of evaluation (i4). Therefore, it does not meet all the inclusion criteria.",
2022,978-981-99-0631-4_53.pdf,Success,Achieve autonomous charging of the robots,wirelesspowertransferisgraduallybecominganewchoiceforpowersupplyforelectricpowerinspectionrobotswithitssecurityandstability,Not Mentioned,Not Mentioned,Simulation and experiments,"thesimulationresultsshowthattheinterference between the power channel and the information channel is only 4nh, accountingforonly0.03%ofthemutualinductancebetweenthepowerchannels. throughexperiments,itisverifiedthattheinfluenceofthepowerchannelandtheinformationchannelcanbeignored",Exclude,"The study focuses on energy efficiency in robotics, but does not explicitly deal with any software aspect of the robotic system.",
2022,978-981-99-2271-0_36.pdf,Success,Design and implementation of an energy-efficient solar pesticide spraying system,energy-efficient systems have gained the significance in all major fields. systems with renewable energy sources gained the preference in many applications. an energy-efficient solar pesticide spraying raspberry pi system for agriculture/farming applications design implementation is illustrated.,Implementation of a raspberry pi system for energy-efficient solar pesticide spraying,an energy-efficient solar pesticide spraying raspberry pi system for agriculture/farming applications design implementation is illustrated.,Not Mentioned,Not Mentioned,Maybe,"The abstract meets the criteria of focusing on robotics, energy efficiency, and software aspects. However, it does not explicitly mention any form of evaluation or assessment of the system, and it is unclear whether the study is peer-reviewed.",
2022,A novel energy consumption model for autonomous mobile robot.pdf,Success,Develop a novel predictive energy consumption model to facilitate the development of tasks based on efficient energy consumption strategies in mobile robot systems.,"inthisstudy,anovelpredictiveenergyconsumptionmodelhasbeendevelopedtofacilitatethedevelopmentoftasksbasedoneﬀicientenergyconsumptionstrategiesinmobilerobotsystems.",Not Mentioned,Not Mentioned,The model was evaluated by comparing it with existing energy models and through an 8-state simulation study.,"as a result, a prediction success rate of 98.56% was achieved. it has also been compared with existing energy models. it was found to give 2%–6% better results than existing energy models. finally, the effects of the parameters used in the proposed model on energy consumption were revealed in an 8-state simulation study.",Maybe,"The abstract meets the criteria i1, i2, i4, i5, and i6. However, it does not explicitly mention the software aspects of the robotic system (i3), which makes it unclear whether it meets this criterion. Therefore, a full-text review is needed to make a final decision.",
2022,A_Review_of_Research_on_Intelligent_Control_Algorithm_Applied_to_Power_Line_Inspection_Robot.pdf,Success,Not Mentioned,Not Mentioned,Intelligent control algorithms for power line inspection robots,this paper reviews the intelligent control algorithms applied to power line inspection (pli) robots.,Not Mentioned,Not Mentioned,Exclude,The abstract does not mention energy efficiency (i2) or any form of evaluation (i4).,
2022,Adaptive_Energy_Shaping_Control_of_a_3-DOF_Underactuated_Cable-Driven_Parallel_Robot.pdf,Success,Not Mentioned,Not Mentioned,The regulation control of a 3-dof underactuated cable-driven parallel robot is investigated by using the interconnection and damping assignment passivity-based control approach.,"in this article, the regulation control of a 3-dof underactuated cable-driven parallel robot is investigated by using the interconnection and damping assignment passivity-based control approach",The efficiency of the proposed controller is confirmed and compared to another method through experiment.,The efficiency of the proposed controller is confirmed and compared to another method through experiment.,Exclude,"The abstract does not meet the inclusion criteria i2 as it does not focus on energy efficiency. Although it mentions 'energy shaping', it does not explicitly state that the study is about energy efficiency in robotics software.",
2022,Adaptive_backstepping_sliding_mode_control_of_lower_limb_exoskele-ton_robot_based_on_combined_double_power_reaching_law.pdf,Success,Not Mentioned,Not Mentioned,Design of an adaptive backstepping sliding mode control method for a lower limb exoskeleton robot system,an adaptive backstepping sliding mode control (absm) method based on the combined double power reaching law (cdprl) for a lower limb exoskeleton robot system,Empirical assessment,"the experiment results show that the proposed method can availably weaken the chattering phenomenon, and improve the accuracy of trajectory tracking and anti-interference ability in comparison with advanced and classical methods",Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides an empirical assessment. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2022,Advanced Intelligent Systems - 2021 - Manoonpong - Fin Ray Crossbeam Angles for Efficient Foot Design for Energy‐Efficient.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,An_Ensemble_Energy_Consumption_Prediction_Model_for_Industrial_Serial-Robot.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,An_Intelligent_System_for_Fruit_Harvesting_Robot_applied_to_Vertical_Green_Walls.pdf,Success,Not Mentioned,Not Mentioned,Design of an intelligent system for fruit harvesting robots applied to vertical green walls,this paper proposes an intelligent system for fruit harvesting robots applied to vertical green walls.,Empirical assessment,"according to our experimental results, the mean average precision of the ripe fruit detection model is 93.85%. we executed the optimal path algorithm in the berlin52, xqf131, and qa194 instances in tsplib, vlsi tsps, and national tsps, the resulting path length was within 6% different from the best-known solution.",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not explicitly focus on energy efficiency, which is a key inclusion criterion.",
2022,Autonomous_Mobile_Robot_Navigating_and_Monitoring_Fire_Safety_at_Power_Substations.pdf,Success,Not Mentioned,Not Mentioned,The system utilizes satellite and imu-based robot navigation along with computer vision to allow an amr to patrol and monitor fire safety.,The system utilizes satellite and imu-based robot navigation along with computer vision to allow an amr to patrol and monitor fire safety.,Empirical assessment,"Navigating at a 220/110 kv power substation in ho chi minh city, vietnam, we achieved a 3d error of satellite-based localization of less than 10cm and an orientation error below 0.2rad.",Exclude,"The study does not focus on energy efficiency (i2) in robotics software, which is one of the key inclusion criteria.",
2022,Battery-Free_UHF-RFID_Sensors-Based_SLAM_for_In-Pipe_Robot_Perception.pdf,Success,Not Mentioned,Not Mentioned,Proposes a novel method for in-pipe robot localization and tag mapping using battery-free ultra high frequency (UHF)-radio-frequency identification (RFID) sensor wireless signals.,"In this article, we propose a novel method for in-pipe robot localization and tag mapping that uses battery-free ultra high frequency (UHF)-radio-frequency identification (RFID) sensor wireless signals.",Empirical assessment,Evaluation results of a field-extracted pipe sample from Sydney water’s distribution network show that the proposed approach is capable of localizing the robot within 2.5 cm accuracy in a 50-m equivalent pipe with an unknown UHF-RFID distribution.,Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides an empirical assessment. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2022,Bounded_Energy_Collisions_in_HumanRobot_Cooperative_Transportation.pdf,Success,Not Mentioned,Not Mentioned,"The proposed method is based on energy dissipation, implemented by a variable damping strategy along the direction of imminent collisions with the environment","The proposed method is based on energy dissipation, implemented by a variable damping strategy along the direction of imminent collisions with the environment",Extensive experimental studies,"Finally, extensive experimental studies clarify and verify the proposed scheme.",Exclude,"The abstract does not meet the inclusion criteria i2 (focus on energy efficiency) and i3 (focus on software aspects of the robotic system). The study is about collision mitigation in human-robot interaction, not energy efficiency in robotics software.",
2022,DTMF_Based_Low-Power_Consuming_Autonomous_Mining_Companion_Robot_with_Multiple_Sensing_Subsystems.pdf,Success,Not Mentioned,Not Mentioned,"Designing an autonomous based 4-wheel drive companion robot, controlled using an Arduino Uno microcontroller and dual-tone multi-frequency technology (DTMF).","The motivation of this project is to combine all the features necessary to help overcome the dangers in the mines by designing an autonomous based 4-wheel drive companion robot, controlled using an Arduino Uno microcontroller and dual-tone multi-frequency technology (DTMF).",Not Mentioned,Not Mentioned,Exclude,The abstract does not meet the inclusion criteria i2 (focus on energy efficiency) and i4 (provides a certain level of evaluation). It also does not explicitly mention if it is a peer-reviewed study (i5) or if it is available as full-text (e5).,
2022,EBSCO-FullText-07_20_2025.pdf,Success,Study of the localization problem of the mobile robot with an energy harvesting sensor,"In this paper, the localization problem of the mobile robot with an energy harvesting sensor is studied.",Development of a time-varying filter for mobile robot localization,The purpose of this paper is to seek out a feasible solution to the addressed mobile robot localization problem by devising the desired time-varying filter.,Simulation,"Finally, a simulation is conducted to testify the availability of the proposed mobile robot localization algorithm.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation (i4), is a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2022,ESB 2022_4.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Experimental testing in industrial conditions,the experimental drive systems were tested in industrial conditions to measure them in a real application example.,Exclude,"The abstract does not mention any focus on robotics, energy efficiency, or software aspects of a robotic system, which are all necessary inclusion criteria.",
2022,Electronics Letters - 2022 - Jang - Development of quadruped robot for inspection of underground pipelines in nuclear power.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,Energy_Autonomy_for_Robot_Systems_With_Constrained_Resources.pdf,Success,Study the energy autonomy of a multirobot system in scenarios where the recharging resources are limited.,"In this article we study the energy autonomy of a multirobot system in scenarios, where the recharging resources are limited.",Propose an approach based on control barrier functions to enforce energy sufficiency and coordination constraints in a mission agnostic fashion.,"In this work, we present an approach based on control barrier functions (CBFs) to enforce both energy sufficiency (ensuring that no robot runs out of battery) and coordination constraints (guaranteeing mutual exclusive use of an available charging station) in a mission agnostic fashion.",Physics-based simulations and real robot experiments.,We show physics-based simulation results as well as real robot experiments that demonstrate the effectiveness of the proposed approach.,Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through physics-based simulations and real robot experiments (i4), is a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2022,Energy_consumption_analysis_fo.pdf,Success,Reduce the energy consumption of an industrial robot,thisarticlepresentsamethodologytoreducetheenergyconsumptionofanindustrialrobot,Not Mentioned,Not Mentioned,Analytical model and experimental validation,weshowananalyticalmodelaimingtoanalyzethesearchspaceofarchitecturesbasedonthetorsionanglesoftherobottodeterminetheoptimalarchitecturethatallowstheefficientuseofenergy.theanalyticalmodelprovidesatheoreticalestimationoftheenergyconsumptionandisvalidatedbymonitoringtheexperimentalrobot,Exclude,"The abstract focuses on energy efficiency in robotics, and provides an evaluation method. However, it does not explicitly mention any software aspects of the robotic system, which is a necessary inclusion criterion.",
2022,EngAcc+v08no2p303-311.pdf,Success,Designing a combination of a totem-pole bridgeless pfc converter and power supply with high efficiency,"the purpose of this paper is to report how a limitations of the power device. therefore, designing a combination of a totem-pole bridgeless pfc converter and power supply with high efficiency, small size, and low heat an llc converter can achieve a high-efficiency power generation is particularly important for the development of supply operating at 500 khz, and to compare the stress and the robotics industry.",Not Mentioned,Not Mentioned,Empirical assessment,"from the experimental point of view, under the proposed topology, the operating loss of the si-based devices (21.98w) was higher than that of the gan-based device (4.13w), and the power supply could reach 97.5% efficiency.",Exclude,"The study focuses on energy efficiency in robotics and provides an empirical assessment. However, it does not explicitly deal with any software aspect of the robotic system, which is a necessary inclusion criterion.",
2022,Flying_STAR2_a_Hybrid_Flying_Driving_Robot_With_a_Clutch_Mechanism_and_Energy_Optimization_Algorithm.pdf,Success,Optimize energy consumption of a flying-driving robot,to optimize its energy consumption (reducing its normalized energy cost) the fstar2 exploits its flying and driving capabilities,Implementation of a new approach which encloses the search space of the weighted a* algorithm,the fstar2 exploits its flying and driving capabilities by implementing a new approach which encloses the search space of the weighted a* algorithm,Multiple simulations in different environments,multiple simulations in different environments were conducted and the findings were compared to dijkstra’s algorithm to estimate the quality of the results,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through multiple simulations (i4), is likely peer-reviewed as it compares its findings with established algorithms (i5), and is written in English (i6). None of the exclusion criteria apply.",
2022,Gait_Parameter_Optimization_of_Quadruped_Robot_Under_Energy_Consumption_Index_Based_on_Reinforcement_Learning.pdf,Success,Optimize the gait parameters of the quadruped robot for lowest energy consumption,the gait optimization of quadruped zhao danpu [1] of tsinghua university took the energy bionic robot is studied under the unified energy consumption used for support and the energy used for movement as the index.,Use of reinforcement learning method and software for gait optimization,the reinforcement learning method is used to optimize the gait parameters of the quadruped robot...optimization of gait parameters combined with mit cheetah software and ddqn network.,Simulation environment,"under the conditions of fixed gait, fixed speed and fixed ground in the simulation environment.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a simulation environment (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2022,Human-Robot_Collaboration_Re-Manufacturing_for_Uncertain_Disassembly_in_Retired_Battery_Recycling.pdf,Success,Recycling needs of retired electric vehicle (EV) battery for sustainable and green resource utilization,the production and sales of new energy vehicles efficient recovery [1]. retired batteries need to be pre-treated,Proposes a novel human-robot collaborative flexible re-manufacturing system to deal with the difficulties for the uncertain disassembly and re-manufacturing process of EV-battery recycling,a novel human-robot collaborative flexible re-manufacturing system is proposed to deal with the difficulties for the uncertain disassembly and re-manufacturing process of EV-battery recycling,The D-H parameter method was used to analyze the kinematics of collaboration robot and its control system. The trajectory planning of collaboration robot is performed using the rapidly-exploring random tree (RRT) algorithm. The neural network YOLOv7 algorithm is used to support the depth vision-based system to improve the recognition accuracy and motion accuracy for disassembly process.,The D-H parameter method was used to analyze the kinematics of collaboration robot and its control system. The trajectory planning of collaboration robot is performed using the rapidly-exploring random tree (RRT) algorithm. The neural network YOLOv7 algorithm is used to support the depth vision-based system to improve the recognition accuracy and motion accuracy for disassembly process.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides a certain level of evaluation (i4), appears to be a peer-reviewed study (i5), and is written in English (i6). None of the exclusion criteria apply.",
2022,IET Cyber-Syst and Robotics - 2022 - Li - Variable universe fuzzy control of walking stability for flying‐walking power.pdf,Success,Not Mentioned,Not Mentioned,Design of a variable universe fuzzy correspondence control (vufc) method for flying-walking power line inspection robots (fplirs),we design a walking mechanism and propose a variable universe fuzzy correspondence control (vufc) method based on multi‐work conditions for flying‐walking power line inspection robots (fplirs),Empirical assessment,the effect of the vufc method on walking stability of the fplir is tested. The experimental results show that the maximum climbing angle of the fplir reaches 29.1°.,Exclude,"The study focuses on robotics and software aspects, and provides an empirical evaluation. However, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2022,IROS22-DMMAS_paper_9239.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,Industrial_robot_energy_consumption_analysis_for_gravity-induced_opposing_force_minimization.pdf,Success,Optimize energy efficiency in industrial robots,the paper describes the process of mapping problematics of digital simulation of ir energy consumption industrial robot energy consumption.,Not Mentioned,Not Mentioned,Experimental approach and power measurements,the study focuses on experimental approach rather than computer modelling to decrease complexityand time consumption of energy mapping. the robot’s consumed power measurements are taken in its multiple static positions with brakes released.,Exclude,"The study focuses on energy efficiency in robotics, and it provides an evaluation method. However, it does not explicitly mention any software aspects of the robotic system, which is a necessary inclusion criterion.",
2022,Mathematical Problems in Engineering - 2022 - Li - Robot Trajectory Planning Based on the Energy Management Strategy.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2022,Minimalist_Coverage_and_Energy-Aware_Tour_Planning_for_a_Mobile_Robot.pdf,Success,"Compute an energy-constrained tour that starts at a given start location, visits a minimum set of service locations for serving the n points of interest, and returns to the start location.",the robot is equipped with a battery that powers the robot to travel a maximum distance of b. several charging stations are placed in the environment so that the robot can charge itself (if needed) to complete the mission.,Propose a new algorithm for energy-constrained tour planning in robotics.,we propose a new algorithm for this problem and show its efficacy using experiments with up to 1000 points of interest on a plane.,Empirical assessment,show its efficacy using experiments with up to 1000 points of interest on a plane.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2022,Modeling_and_Simulation_Analysis_of_Energy_Self-sustainment_Behavior_Decision_in_Robot_Ecosphere.pdf,Success,Energy self-sustaining behavior decision method for robot ecosphere,"in this paper, an energy self-sustaining behavior decision method based on behavior tree is proposed to meet the energy self-sustaining needs of robot ecosphere.",Behavior decision method using behavior tree tool for energy self-sustaining in robot ecosphere,"the behavior decision method describes the robot's behavior decision by using the behavior tree tool, and can quickly build the energy self-sustaining behavior decision model according to the demand.",Simulation scenario based on coppeliasim,"in order to verify the effectiveness of the behavior decision method, a simulation scenario based on coppeliasim was built, and the behavior decision model of robot energy self-sustainment based on behavior tree is tested.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through a simulation scenario (i4). Although the abstract does not explicitly mention that it is a peer-reviewed study (i5) or that it is written in English (i6), it can be inferred from the context. None of the exclusion criteria apply.",
2022,Modiﬁed_power_rate_sliding_mod.pdf,Success,Not Mentioned,Not Mentioned,Optimized improved power rate sliding mode control (PR-SMC) to control a 4-degrees of freedom (DOF) manipulator in joint space as well as workspace.,this work suggests an optimized improved power rate sliding mode control (PR-SMC) to control a 4-degrees of freedom (DOF) manipulator in joint space as well as workspace.,Empirical assessment,the proposed enhanced sliding mode combined with the optimization method is applied experimentally on a 4-DOF manipulator to prove the feasibility and efficiency of the proposed controller.,Exclude,The study does not focus on energy efficiency (i2) as per the inclusion criteria.,
2022,On_the_Effect_of_Heterogeneous_Robot_Fleets_on_Smart_Warehouses_Order_Time_Energy_and_Operating_Costs.pdf,Success,"Reduce the operating costs of the acquired fleet, including energy consumption.","However, it is necessary to pay attention to the fleet’s energy costs... the objectives are to reduce the operating costs of the acquired fleet, including energy consumption.",Investigates the effect of different robot types in fleets operating in a large simulated smart warehouse using a previously designed state-of-the-art algorithm.,This work presents the effect of different robot types in fleets operating in a large simulated smart warehouse using a previously designed state-of-the-art algorithm.,Empirical assessment based on simulation results.,"Results show that investing in heterogeneous fleets does not produce performance from a particular variety of robots and that the effects of the number of robots on order fulfillment time, energy consumption, and operating costs are directly related to the used algorithm.",Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2022,Power-Shaping_Model-Based_Control_With_Feedback_Deactivation_for_Flexible-Joint_Robot_Interaction.pdf,Success,Not Mentioned,Not Mentioned,"Proposes a novel control methodology for flexible-joint robots, including a variable impedance control technique and a power-shaping control signal.","this letter presents a novel control methodology that is based on an amalgamation of model-based, power-shaping control (psc), and feedback deactivation.",Experimental results involving the Rethink Robotics Baxter robot,"experimental results involving the rethink robotics baxter robot corroborate the theoretical stability analyses, in addition to demonstrating that interactional and tracking performance improvements can be achieved via the proposed methodology.",Exclude,"While the study focuses on robotics and software aspects of the robotic system, and provides an evaluation, it does not explicitly focus on energy efficiency. Therefore, it does not meet all the inclusion criteria.",
2022,Real-Time_Acoustic_Touch_Localization_in_Human-Robot_Interaction_based_on_Steered_Response_Power.pdf,Success,Not Mentioned,Not Mentioned,"The work proposes a system to localize a contact performed on the rigid, non-planar shell of a service robot in real-time, based on set of spatially separated piezotransducers attached to the shell of the robot and the steered response power sound source localization algorithm.","this work proposes a system to localize a contact performed on the rigid, non-planar shell of a service robot in real-time, based on set of spatially separated piezotransducers attached to the shell of the robot and the steered response power sound source localization algorithm.",The system's performance is evaluated based on its potential capability to correctly detect and localize human touches.,results show the potential capability of the system to correctly detect and localize human touches.,Exclude,"The study focuses on robotics and software aspects of the robotic system, and provides a certain level of evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2022,Research_on_Vision_Accurate_Positioning_and_Algorithm_of_Automatic_Maintenance_Robot_for_Unmanned_Power_Distribution_Room.pdf,Success,Not Mentioned,Not Mentioned,Design and implementation of automatic maintenance robot control network inspection system,this paper explores the design and urgent to research and promote the intelligent distribution implementation of automatic maintenance robot control network inspection system,Experimental tests and development and application tests,The effectiveness of this method is proved by a series of experimental tests and development and application tests.,Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not explicitly focus on energy efficiency, which is one of the key inclusion criteria.",
2022,Robotics Computer Surgery - 2022 - Tanaka - Robot‐assisted modified radical hysterectomy with removal of lymphatic vessel.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Comparative analysis of 34 cases of RAMRH with RLV, with 54 patients without RLV","We compared 34 cases of RAMRH with RLV, with 54 patients without RLV.",Exclude,"The study does not focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria.",
2022,Safe_Navigation_of_a_Non-Holonomic_Robot_with_Low_Computational-power_in_a_2D_Dynamic_Environment.pdf,Success,Not Mentioned,Not Mentioned,The paper proposes a navigation strategy for a low-computational power robot in a 2D complex environment with dynamic obstacles. The hybrid A* algorithm is fused with a reactive control algorithm to provide safe navigation.,this paper proposes a navigation strategy for a low-computational power robot in a 2D complex environment with dynamic obstacles. The hybrid A* algorithm is fused with a reactive control algorithm to provide safe navigation.,Computer simulations,computer simulations are performed to validate the proposed navigation algorithm.,Exclude,"The study does not meet the inclusion criteria i2 as it does not focus on energy efficiency. Although it focuses on robotics and software aspects of the robotic system, and provides an evaluation through computer simulations, the lack of focus on energy efficiency leads to its exclusion.",
2022,Simulation_to_Real_Learning_Energy-Efficient_Slithering_Gaits_for_a_Snake-Like_Robot.pdf,Success,,,,,,,,,Error parsing LLM response: Expecting value: line 1 column 1 (char 0)
