Title,Year,Authors,ArticleURL,Source,Publisher,Abstract,Cites,CitesURL
Mechanical design and finite element analysis of live working robot for 10kV distribution power systems,2021,"Z Liming, H Yulong, X Shanjun, Z Tong, ...",https://www.sciencedirect.com/science/article/pii/S1877050921005421,Procedia Computer …,Elsevier,"… voltage live-working robot has become an urgent need in the power field. Live-working robot is the … A 3D model was established with Solid works software, and imported into the ANSYS …",3,"https://scholar.google.com/scholar?cites=6973387153101068191&as_sdt=2005&sciodt=0,5&hl=en"
Practical model for energy consumption analysis of omnidirectional mobile robot,2021,"L Hou, F Zhou, K Kim, L Zhang",https://www.mdpi.com/1424-8220/21/5/1800,Sensors,mdpi.com,… of the robot and the accurate power consumption model can we accurately predict the power consumption of the robot. In order to increase the applicable scenarios of energy …,17,"https://scholar.google.com/scholar?cites=13403839890918450409&as_sdt=2005&sciodt=0,5&hl=en"
Nonlinear modeling and performance testing of high-power electromagnetic energy harvesting system for self-powering transmission line vibration deicing robot,2021,"S Paul, D Lee, K Kim, J Chang",https://www.sciencedirect.com/science/article/pii/S088832702030755X,Mechanical Systems and Signal …,Elsevier,This paper proposed the nonlinear modeling and a full-scale testing method for an electromagnetic energy harvester (EMEH) used to power-up a vibration de-icing robot used in power …,23,"https://scholar.google.com/scholar?cites=13795744796955735853&as_sdt=2005&sciodt=0,5&hl=en"
Optimization of energy consumption for hexapod robot following inclined path using nontraditional gait,2021,"SI Beaber, MS Khadr, AY AbdelHamid, ...",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11758/1175802/Optimization-of-energy-consumption-for-hexapod-robot-following-inclined-path/10.1117/12.2584520.short,Unmanned Systems …,spiedigitallibrary.org,"… MATLAB Sim-Mechanics TM is one of these software tools. The benefits of these flexible toolboxes is importing CAD model from a CAD software into the Simulink very simple, to obtain …",0,
Automatic approval method for financial reimbursement of electric power enterprises based on RPA robot,2021,"D Chen, D Xiao, Y Li, TL Shao, ...",https://ieeexplore.ieee.org/abstract/document/9463340/,… Conference on Computer …,ieeexplore.ieee.org,"… In order to test the performance of the RPA robot based automatic financial reimbursement … Combined with the traditional method of software and hardware performance testing, the test …",2,"https://scholar.google.com/scholar?cites=15252175624317966236&as_sdt=2005&sciodt=0,5&hl=en"
THE CONCEPT OF A MOBILE ROBOT DESIGNED TO CLEAN URBAN GREEN AREAS. PROJECT INTRODUCTION: WALL-E 2.0,2021,J Brzyk,https://search.proquest.com/openview/1bb1e845d1e58c8774fadc460b915a05/1?pq-origsite=gscholar&cbl=1536338,International Multidisciplinary Scientific …,search.proquest.com,"… the mobile robot, which will be able to clean up urban green … software Autodesk Inventor 2021 was used for the implementation of the design phase. To proceed with manufacture robot …",0,
Energy-conscientious trajectory planning for an autonomous mobile robot in an asymmetric task space,2021,"S Bakshi, T Feng, Z Yan, Z Ma, D Chen",https://link.springer.com/article/10.1007/s10846-020-01288-9,Journal of Intelligent &Robotic …,Springer,"… Zheren Ma is Quantitative Development Researcher at Citadel LLC, where he builds software to … He also developed drilling analytics and optimization software that applies natural …",15,"https://scholar.google.com/scholar?cites=1108022685962307205&as_sdt=2005&sciodt=0,5&hl=en"
"Role of electromechanical coupling, locomotion type and damping on the effectiveness of fish-like robot energy harvesters",2021,"R Salazar, R Quintana, A Abdelkefi",https://www.mdpi.com/1996-1073/14/3/693,Energies,mdpi.com,"… [14,15] stated that the desired energy harvester should be … electromechanical piezoelectric energy harvester integrated … motions of the fish-like robot energy harvesting system. The rest …",6,"https://scholar.google.com/scholar?cites=2883453829887200687&as_sdt=2005&sciodt=0,5&hl=en"
Design of Mobile Intelligent Detection Robot for Power Tunnel,2021,S Xiong,https://ieeexplore.ieee.org/abstract/document/9731166/,2021 5th Asian Conference on Artificial Intelligence …,ieeexplore.ieee.org,"… of power tunnel is related to the stable operation of power … of power tunnel, a mobile intelligent inspection robot scheme … Use win box software to test the robot's communication system. …",0,
DESIGN AND PATH PLANNING SIMULATION OF PROBE ARM OF POWER GIS PIPELINE PROBE ROBOT,2021,"X Liu, W Wang, J Wang, K Wei, X Yin",https://ijomam.com/wp-content/uploads/2021/11/pag.-43-49_DESIGN-AND-PATH-PLANNING-SIMULATION-OF-PROBE-ARM-OF-POWER-GIS-PIPELINE-PROBE-ROBOT.pdf,International Journal of …,ijomam.com,"… ) has been applied significantly in the power industry, and has … arm of GIS pipeline detection robot, and carried out the … the traditional inspection mode of power GIS, improve the …",0,
Hierarchical Reinforcement Learning Considering Stochastic Wind Disturbance for Power Line Maintenance Robot,2021,"X Zheng, G Wu",https://www.researchsquare.com/article/rs-783306/latest,,researchsquare.com,"… software, including speed limit, mode lock, and linkage limit. The sequencer plans the movement of the robot … by using the physical properties of robot motion primitives. The adaptability …",0,
Energy-efficient algorithm for robot-assisted sensor deployment,2021,"J Valencic, L Saxena, R Joshi, ...",https://ieeexplore.ieee.org/abstract/document/9569195/,2021 IEEE Canadian …,ieeexplore.ieee.org,… for robot-assisted sensor deployment called Closest First (CF) which minimizes the distance traveled by the mobile robot … algorithm with three other robot-assisted sensor deployment …,1,"https://scholar.google.com/scholar?cites=5166015023605769712&as_sdt=2005&sciodt=0,5&hl=en"
Regulation control of a suspended cable-driven robot via energy shaping,2021,"MRJ Harandi, A Molaei, ...",https://ieeexplore.ieee.org/abstract/document/9683022/,2021 60th IEEE …,ieeexplore.ieee.org,"… robot are natural ones. In other words, we can stabilize the robot at these points by merely potential energy … the governing PDE of the desired potential energy (6) should be solved to …",4,"https://scholar.google.com/scholar?cites=8621673546037576272&as_sdt=2005&sciodt=0,5&hl=en"
Energy Consumption in a Collaborative Activity Monitoring System using a Companion Robot and a Wearable Device,2021,"F Liang, R Hernandez, W Sheng, ...",https://ieeexplore.ieee.org/abstract/document/9588164/,2021 IEEE 11th Annual …,ieeexplore.ieee.org,… energy consumption problem in a collaborative activity monitoring system (CAMS) that consists of a companion robot … and software methods. 2) We need to improve the Bluetooth part to …,0,
A computer vision system for power transmission line inspection robot,2021,"HT Tran, MQ Tran, QH Tran, ...",https://ieeexplore.ieee.org/abstract/document/9538440/,… Conference on System …,ieeexplore.ieee.org,… by using linear regression technique so that the robot can determine the exact time to overcome … the robot in real life. Inspection robots with this system will make the inspection of power …,4,"https://scholar.google.com/scholar?cites=2476405688541811458&as_sdt=2005&sciodt=0,5&hl=en"
Effects of torso pitch motion on energy efficiency of biped robot walking,2021,"L Li, Z Xie, X Luo, J Li",https://www.mdpi.com/2076-3417/11/5/2342,Applied Sciences,mdpi.com,… on energy efficiency of biped robots. We define the cyclic gait of a five-link biped robot with … chosen to minimize the energy consumption per unit distance of the biped robot. Under this …,6,"https://scholar.google.com/scholar?cites=10725398632567971901&as_sdt=2005&sciodt=0,5&hl=en"
Modeling and analysis on low energy consumption foot trajectory for hydraulic actuated quadruped robot,2021,"Y Sun, Z Hua, Y Li, C Hui, X Li, ...",https://journals.sagepub.com/doi/abs/10.1177/17298814211062006,International Journal of …,journals.sagepub.com,"… not only can reduce the consumed energy against angular inertia but also can improve … robot feet and reduce energy consumption during contact impact. However, the quadruped robot …",5,"https://scholar.google.com/scholar?cites=15242246956102818444&as_sdt=2005&sciodt=0,5&hl=en"
A Human-Computer Interaction Scheme of Lower-Limb Power-Assist Flexible Robot,2021,"D Zeng, L Sun, X Chen, Y Li, M Zhu, ...",https://ieeexplore.ieee.org/abstract/document/9517694/,2021 IEEE International …,ieeexplore.ieee.org,Wearable flexible walking assist robot can be used to improve the walking state of the senior citizens. This paper proposes to develop an intelligent wearable flexible walking assist robot…,1,"https://scholar.google.com/scholar?cites=2459002334302350085&as_sdt=2005&sciodt=0,5&hl=en"
Slim and expandable header inspection robot for remote visual inspection of boiler headers in thermal power plants,2021,DN Ray,https://dl.acm.org/doi/abs/10.1145/3478586.3478612,Proceedings of the 2021 5th International Conference …,dl.acm.org,"… designed and developed to supply power and generate command signal. … robot and used for the PCU itself. A switch, fuse and a Voltmeter-cum-Ammeter are associated with the power …",4,"https://scholar.google.com/scholar?cites=9838556314909365367&as_sdt=2005&sciodt=0,5&hl=en"
Virtual energy management for physical energy savings in a legged robot hopping on granular media,2021,"SF Roberts, DE Koditschek",https://www.frontiersin.org/articles/10.3389/frobt.2021.740927/full,Frontiers in Robotics and AI,frontiersin.org,"… In these simulations, we estimated the energy consumption of the robot as it jumped on granular … Measurements using the Minitaur hardware and software are currently conducted with a …",3,"https://scholar.google.com/scholar?cites=9957510408504568157&as_sdt=2005&sciodt=0,5&hl=en"
An energy-efficient communication scheme for multi-robot coordination deployed for search and rescue operations,2021,"M Rajesh, SR Nagaraja",https://link.springer.com/chapter/10.1007/978-981-16-1089-9_16,… and Intelligent Systems: Proceedings of ICCIS …,Springer,… of multi-robot systems is the battery life of the robots. Efficient use of the battery power is the … In: 3rd International conference on communication systems software and middleware and …,5,"https://scholar.google.com/scholar?cites=3229759938428601025&as_sdt=2005&sciodt=0,5&hl=en"
Hybrid self-adaptive biobjective optimization of multiple robot scheduling problem for mixed-model assembly lines considering energy savings,2021,"B Zhou, Q Fei",https://journals.sagepub.com/doi/abs/10.1177/0959651820965443,Proceedings of the Institution of Mechanical …,journals.sagepub.com,"… Motivated by this context, this article proposes a multiple mobile robot scheduling problem (… the energy consumption of robots into account as well. According to statistics, the energy …",5,"https://scholar.google.com/scholar?cites=4711648298853989595&as_sdt=2005&sciodt=0,5&hl=en"
"Effects of Robot-assisted Gait With Body Weight Support on Torque, Work, and Power of Quadriceps and Hamstring Muscles in Healthy Subjects",2021,"J Hwang, SJH You, WJ Choi, C Yi",https://www.ptkorea.org/journal/view.html?uid=977&vmd=Full,Physical Therapy Korea,ptkorea.org,"… Objects: The purpose of this study was to investigate the effects of torque, work, and power … used to measure the isokinetic torque, work, and power of them. After RAGT trials of each of …",1,"https://scholar.google.com/scholar?cites=609857124498111844&as_sdt=2005&sciodt=0,5&hl=en"
OPTIMIZING SWING FOOT TRAJECTORY OF HUMANOID ROBOT WALKING FOR ENERGY EFFICIENCY,2021,"CCD da Silva, MROA Maximo, LCS Góes",https://www.researchgate.net/profile/Marcos-Maximo/publication/357082187_OPTIMIZING_SWING_FOOT_TRAJECTORY_OF_HUMANOID_ROBOT_WALKING_FOR_ENERGY_EFFICIENCY/links/6327e770873eca0c009a67e8/OPTIMIZING-SWING-FOOT-TRAJECTORY-OF-HUMANOID-ROBOT-WALKING-FOR-ENERGY-EFFICIENCY.pdf,researchgate.net,,"… The entire simulation was done using the MATLAB software; … energy used for the full gait, using all the robot dynamics, in a realistic simulator, especially Gazebo. After in our real robot, …",0,
Development progress of power prediction robot and platform: Its world level very long term prototyping example,2022,BO Saracoglu,https://dergipark.org.tr/en/pub/jes/article/1021838,Journal of Energy Systems,dergipark.org.tr,"Global Power Prediction Systems prototype version 2021 is presented with its system decomposition, scope, geographical/administrative/power grid decompositions, and similar. “…",1,"https://scholar.google.com/scholar?cites=5940888836558919374&as_sdt=2005&sciodt=0,5&hl=en"
Does industrial robot application promote green technology innovation in the manufacturing industry?,2022,"CC Lee, S Qin, Y Li",https://www.sciencedirect.com/science/article/pii/S0040162522004164,Technological Forecasting and Social Change,Elsevier,… Using the industrial robot data and manufacturing green … of industrial robots (IRA) affecting green technology innovation (GTI) in … —the mediating effect of green R&D investment and the …,252,"https://scholar.google.com/scholar?cites=9917689526183692587&as_sdt=2005&sciodt=0,5&hl=en"
Spidr: Ultra-low-power acoustic spatial sensing for micro-robot navigation,2022,"Y Bai, N Garg, N Roy",https://dl.acm.org/doi/abs/10.1145/3498361.3539775,Proceedings of the 20th Annual International …,dl.acm.org,… Pi 4 [43] and record the voltage and current traces using a Keysight E6313A programmable DC power supply [71]. We write the software for SPiDR in Matlab and cross-compile it …,31,"https://scholar.google.com/scholar?cites=10089865474254928673&as_sdt=2005&sciodt=0,5&hl=en"
Indocyanine green drives computer vision based 3D augmented reality robot assisted partial nephrectomy: the beginning of “automatic” overlapping era,2022,"D Amparore, E Checcucci, P Piazzolla, F Piramide, ...",https://www.sciencedirect.com/science/article/pii/S0090429522000292,Urology,Elsevier,"… In order to make them more depictable by our software, we used … green (ICG) (0.1-0.5 mg/mL/kg) was intravenously injected, allowing the visualization of the kidney as a bright green …",48,"https://scholar.google.com/scholar?cites=58551877337414473&as_sdt=2005&sciodt=0,5&hl=en"
A novel flying–walking power line inspection robot and stability analysis hanging on the line under wind loads,2022,"X Qin, B Jia, J Lei, J Zhang, H Li, B Li, Z Li",https://ms.copernicus.org/articles/13/257/2022/,Mechanical Sciences,ms.copernicus.org,… To address the problems of existing power line inspection … a novel flying–walking power line inspection robot (FPLIR) with … The dynamics model of the FPLIR on the power line using the …,20,"https://scholar.google.com/scholar?cites=9530988211679427336&as_sdt=2005&sciodt=0,5&hl=en"
Optimal path planning for wireless power transfer robot using area division deep reinforcement learning,2022,"Y Xing, R Young, G Nguyen, M Lefebvre, ...",https://www.cambridge.org/core/journals/wireless-power-transfer/article/optimal-path-planning-for-wireless-power-transfer-robot-using-area-division-deep-reinforcement-learning/A0C473AEAB735AB94060BC54AB0F7585,Wireless Power …,cambridge.org,… assembled the wireless power transfer robot and applied deep … find the optimal path for the wireless power transfer robot. e … So the validation of our work is done in the software aspect. …,10,"https://scholar.google.com/scholar?cites=15015185697116650662&as_sdt=2005&sciodt=0,5&hl=en"
Wearable Power Assistant Robot Sensor Signal Prediction Algorithm and Controller Design,2022,"G Li, G Ren",https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/4605389,Applied Bionics and Biomechanics,Wiley Online Library,… we design the corresponding software and hardware system to … The signal processing software part of the circuit and the … of Vc++ and MATLAB to complete the software part of the upper …,5,"https://scholar.google.com/scholar?cites=16752783618214897025&as_sdt=2005&sciodt=0,5&hl=en"
Miniature Autonomous robot based on legged in-plane piezoelectric resonators with onboard power and control,2022,"D Robles-Cuenca, MR Ramírez-Palma, V Ruiz-Díez, ...",https://www.mdpi.com/2072-666X/13/11/1815,Micromachines,mdpi.com,"… characterization of a centimetre-scale autonomous robot with locomotion based on in-plane … The robot consists of a pair of cooperative piezoelectric motors, an electronic power circuit …",11,"https://scholar.google.com/scholar?cites=6815095188159418939&as_sdt=2005&sciodt=0,5&hl=en"
Stable wireless power transmission for a capsule robot with randomly changing attitude,2022,"J Gao, J Zhou, C Yuan, Z Zhang, C Gao, ...",https://ieeexplore.ieee.org/abstract/document/9913717/,… on Power …,ieeexplore.ieee.org,… power transmission (WPT) for a capsule robot (CR) has always been a challenging issue because the unpredictable CR attitude can destabilize the induced power … induced power. This …,30,"https://scholar.google.com/scholar?cites=2693070609258047642&as_sdt=2005&sciodt=0,5&hl=en"
Voluntary assist-as-needed controller for an ankle power-assist rehabilitation robot,2022,"R Yang, Z Shen, Y Lyu, Y Zhuang, L Li, ...",https://ieeexplore.ieee.org/abstract/document/9978653/,IEEE Transactions on …,ieeexplore.ieee.org,"… -robot cooperation movement, the controller can switch among four working modes, including robot-resist, free, robot-assist, and robot-… The control torque in robot-resist, free, and robot-…",19,"https://scholar.google.com/scholar?cites=10053844029765844160&as_sdt=2005&sciodt=0,5&hl=en"
An inflatable soft crawling robot with nondestructive testing capability for overhead power line inspection,2022,"N Mendoza, H Nemati, ...",https://asmedigitalcollection.asme.org/IMECE/proceedings-abstract/IMECE2022/V005T07A021/1157115,ASME …,asmedigitalcollection.asme.org,"… The prototyped mechanism was tested in a laboratory setting while the collected data were used for modifying the designs, and controlling software and hardware. The feasibility of the …",4,"https://scholar.google.com/scholar?cites=16541979658018606451&as_sdt=2005&sciodt=0,5&hl=en"
Patrol robot path planning in nuclear power plant using an interval multi-objective particle swarm optimization algorithm,2022,"Z Chen, H Wu, Y Chen, L Cheng, B Zhang",https://www.sciencedirect.com/science/article/pii/S1568494621010371,Applied soft computing,Elsevier,… path planning (PP) scheme for patrol robot in nuclear power plant. The purpose of this PP … the static PP environment of patrol robot in nuclear power plant. Then considering the conflicts …,64,"https://scholar.google.com/scholar?cites=1377798152802101351&as_sdt=2005&sciodt=0,5&hl=en"
Power-shaping model-based control with feedback deactivation for flexible-joint robot interaction,2022,"E Spyrakos-Papastavridis, Z Fu, ...",https://ieeexplore.ieee.org/abstract/document/9691851/,IEEE Robotics and …,ieeexplore.ieee.org,"… environments, the topic of human-robot interaction is currently of paramount importance. … hardware design, and those pertaining to software. The latter category has been dominated …",13,"https://scholar.google.com/scholar?cites=6016448181631513871&as_sdt=2005&sciodt=0,5&hl=en"
An efficient dynamic formulation for the vibration analysis of a multi-span power transmission line excited by a moving deicing robot,2022,"W Fan, S Zhang, W Zhu, H Zhu",https://www.sciencedirect.com/science/article/pii/S0307904X21005199,Applied Mathematical Modelling,Elsevier,"… Aiming at developing an efficient dynamic model for multi-span power transmission lines with moving deicing robot, an absolute nodal coordinate formulation for a slender beam with a …",19,"https://scholar.google.com/scholar?cites=9275732422194140998&as_sdt=2005&sciodt=0,5&hl=en"
Virtual Validation of Power and Force Limiting Setups in Human-Robot-Collaboration,2022,"A Schlotzhauer, T Stotz, R Awad, W Kraus",https://www.sciencedirect.com/science/article/pii/S2212827122003572,Procedia CIRP,Elsevier,… control software. The central control software was developed using the Robot Operating … The package “core” enables the main functionality of the control software and implements …,3,"https://scholar.google.com/scholar?cites=2816829984749133594&as_sdt=2005&sciodt=0,5&hl=en"
Development of quadruped robot for inspection of underground pipelines in nuclear power plants,2022,"Y Jang, W Seol, K Lee, KS Kim, S Kim",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/ell2.12414,Electronics Letters,Wiley Online Library,"… ) manipulator and legged robot technology [7-9], to develop a new robot with general … walking robot named PRIME (Pipe Robot with Inspection, Modularity, Extendability). The robot, …",15,"https://scholar.google.com/scholar?cites=14325636309093303256&as_sdt=2005&sciodt=0,5&hl=en"
Active Compliance Control System for Intelligent Inspection Robot in Power Room,2022,"N Guan, P Zhang",https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7829082,Journal of Control Science and Engineering,Wiley Online Library,… robot in the power room based on machine vision; the optimization environment of the power room; the control of the inspection robot … model of the inspection robot in the power room is …,4,"https://scholar.google.com/scholar?cites=18394957506869299114&as_sdt=2005&sciodt=0,5&hl=en"
The climbing performance analysis of a robot for power line inspection with retractable double serial manipulators,2022,"X Li, D Shang, F Li, R Chen",https://journals.sagepub.com/doi/abs/10.1177/09544062211054984,Proceedings of the Institution of …,journals.sagepub.com,"… to climb power lines is the key point of the inspection robot’s design. An inspection robot with … Besides, this paper shows that the inspection robot is more suitable for climbing from static …",13,"https://scholar.google.com/scholar?cites=2328256336627677479&as_sdt=2005&sciodt=0,5&hl=en"
Performance optimization of fuel cell hybrid power robot based on power demand prediction and model evaluation,2022,"X Lü, R Deng, C Chen, Y Wu, R Meng, L Long",https://www.sciencedirect.com/science/article/pii/S0306261922004743,Applied Energy,Elsevier,… the predicted power to further optimize and improve the performance of the hybrid power welding robot system. The experimental results show that the stability of fuel cell power output …,17,"https://scholar.google.com/scholar?cites=4759292027770046493&as_sdt=2005&sciodt=0,5&hl=en"
Risk analysis of nuclear power plant (NPP) operations by artificial intelligence (AI) in robot,2022,"KB Jang, CH Baek, TH Woo",https://journal.umy.ac.id/index.php/jrc/article/view/13984,Journal of Robotics and Control …,journal.umy.ac.id,,8,"https://scholar.google.com/scholar?cites=17574841344580284964&as_sdt=2005&sciodt=0,5&hl=en"
Design of Automatic Management System of Electric Power Marketing Charges and Accounts Based on Robot Process Automation [J],2022,"J Sun, D Qiu, Z Xu",https://pdfs.semanticscholar.org/07a2/edb1bd91136125adf8f756fd136837226085.pdf,Frontiers in Computing and Intelligent …,pdfs.semanticscholar.org,"… In order to prevent errors or defects in software development, the basic functions of the system are tested at first, and the performance of the system needs to be tested, mainly focusing …",2,"https://scholar.google.com/scholar?cites=11440699905151213370&as_sdt=2005&sciodt=0,5&hl=en"
Autonomous Mobile Robot: Navigating and Monitoring Fire Safety at Power Substations,2022,"TTN Thai, QTT Le, CV Nguyen, ...",https://ieeexplore.ieee.org/abstract/document/9984088/,… Technology in Green …,ieeexplore.ieee.org,"… Operating System) which is a standardized open-source middleware software library and tools, used in developing robot software [15]. STM32F4 Discovery kit was used to measure …",1,"https://scholar.google.com/scholar?cites=17203503777433041111&as_sdt=2005&sciodt=0,5&hl=en"
Variable universe fuzzy control of walking stability for flying‐walking power line inspection robot based on multi‐work conditions,2022,"Z Li, X Qin, J Lei, J Zhang, H Li, B Li, ...",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/csy2.12058,IET Cyber‐Systems …,Wiley Online Library,"… challenging to the stability of power line inspection robots, … work conditions for flying‐walking power line inspection robots (… The maximum and average values of robot's swing angle are …",4,"https://scholar.google.com/scholar?cites=4039526783064733061&as_sdt=2005&sciodt=0,5&hl=en"
Real-Time Acoustic Touch Localization in Human-Robot Interaction based on Steered Response Power,2022,"JJ Gamboa-Montero, M Basiri, ...",https://ieeexplore.ieee.org/abstract/document/9962225/,… on Development and …,ieeexplore.ieee.org,"… robot in real-time, based on set of spatially separated piezo transducers attached to the shell of the robot and the Steered Response Power … First, we use the open source software kit for …",2,"https://scholar.google.com/scholar?cites=16235791250248111415&as_sdt=2005&sciodt=0,5&hl=en"
Structural design and research of underwater inspection robot for nuclear power plant,2022,"J Zhou, J Fu, R Pan, G Tian, Y Li",https://ieeexplore.ieee.org/abstract/document/10015995/,2022 IEEE Conference on …,ieeexplore.ieee.org,"… and environment of the robot, the driving scheme and … the robot. Finally, it not only solves the problem of underwater detection, but also lays the foundation for underwater research robot …",1,"https://scholar.google.com/scholar?cites=6671696522572077929&as_sdt=2005&sciodt=0,5&hl=en"
Wireless Charger Design of Robot Vacuum Cleaners with Power Repeaters for High Compatibility,2022,"A Li, D Kacprzak, AP Hu",https://www.scirp.org/journal/paperinformation?paperid=117367,Journal of Electromagnetic Analysis and …,scirp.org,"… and power transfer capability via different software packages. In simulation study of magnetic coupling, a 3D-FEM simulation software … design of coils with power repeaters. Model of the …",0,
Design and Analysis of a Wireless Power Transmitting System for Capsule Robot Using Two-Dimensional Combined Solenoid Coils,2022,"C Gao, J Gao, C Yuan, J Zhou, S Tian, P Huang",https://www.jpier.org/PIERM/pier.php?paper=22062501,Prog Electromagn Res M,jpier.org,"… noting that in order to obtain maximum power from a 1-D PTC, … rendering the power of CR receiving less or even no power at all… Secondly, finite element simulation software is utilized to …",2,"https://scholar.google.com/scholar?cites=13613649887351329741&as_sdt=2005&sciodt=0,5&hl=en"
Adaptive backstepping sliding mode control of lower limb exoskele-ton robot based on combined double power reaching law,2022,"WX Xu, GZ Cao, YP Zhang, JC Chen, ...",https://ieeexplore.ieee.org/abstract/document/9907279/,2022 12th …,ieeexplore.ieee.org,"… of factors such as robot nonlinearity, strong … software are used for co-simulation. The simulation results verify that the proposed method can effectively improve the accuracy of robot …",4,"https://scholar.google.com/scholar?cites=7284695593812921884&as_sdt=2005&sciodt=0,5&hl=en"
Human intention-oriented variable admittance control with power envelope regulation in physical human-robot interaction,2022,"J Chen, PI Ro",https://www.sciencedirect.com/science/article/pii/S0957415822000460,Mechatronics,Elsevier,… Passivity condition was suggested as a necessary condition for system stability of the robot interacting with the human from our initial results. The power envelope shows the capability …,27,"https://scholar.google.com/scholar?cites=7539200536950348751&as_sdt=2005&sciodt=0,5&hl=en"
Clinical benefits of indocyanine green fluorescence in robot-assisted partial nephrectomy,2022,"YK Yang, ML Hsieh, SY Chen, CY Liu, PH Lin, HC Kan, ...",https://www.mdpi.com/2072-6694/14/12/3032,Cancers,mdpi.com,… and postoperative outcomes of indocyanine green (ICG) administration in robot-assisted partial … are necessary to verify the intraoperative and functional advantages of the green dye. …,16,"https://scholar.google.com/scholar?cites=16671679798151168699&as_sdt=2005&sciodt=0,5&hl=en"
Research on Vision Accurate Positioning and Algorithm of Automatic Maintenance Robot for Unmanned Power Distribution Room,2022,"J Zhang, X Xu, J Xu, S Xia",https://ieeexplore.ieee.org/abstract/document/9987104/,2022 IEEE 4th International …,ieeexplore.ieee.org,"… of the power distribution and transformation operation robot, and assist the robot to complete … After the audio data is compressed by software, it is sent back to the server for storage, and …",1,"https://scholar.google.com/scholar?cites=3998490501397882658&as_sdt=2005&sciodt=0,5&hl=en"
Integrated power and propulsion system optimization for a planetary-hopping robot,2022,"H Kalita, A Diaz-Flores, J Thangavelautham",https://www.mdpi.com/2226-4310/9/8/457,Aerospace,mdpi.com,"… The dynamics of the robot while using the combined action … determined using the Cpropep software for a given combustion … collect data by using the Cpropep software, and a model was …",4,"https://scholar.google.com/scholar?cites=3754687131633600043&as_sdt=2005&sciodt=0,5&hl=en"
ROBBE–Robot-aided processing of assemblies during the dismantling of nuclear power plants,2022,"P Santos, J Recknagel, M Knuth, ...",https://epjn.epj.org/articles/epjn/abs/2022/01/epjn220041/epjn220041.html,EPJ Nuclear Sciences …,epjn.epj.org,"… and dismantling of an NPP (Nuclear Power Plant), correct and … of the total inventory of the power plant to be processed. The … ROBBE aims at implementing a robot-assisted, automated …",2,"https://scholar.google.com/scholar?cites=16171167932341988555&as_sdt=2005&sciodt=0,5&hl=en"
From environmental exploration to clearance measurement–developing mobile robot systems for decommissioning of nuclear power plants: Von der …,2022,"Z Chen, S Gentes, D Hartmann, B Hein, ...",https://www.degruyter.com/document/doi/10.1515/auto-2022-0058/html,at …,degruyter.com,"… on two sensor concepts: measurement (blue) and localisation (green). An important aspect is to integrate all sensors into one central software (MATLAB, The MathWorks Inc.). This has …",1,"https://scholar.google.com/scholar?cites=4486685307958827659&as_sdt=2005&sciodt=0,5&hl=en"
GaN-based Robot Power Supply Design,2022,"MAB Salim, C Photong",https://ph02.tci-thaijo.org/index.php/mijet/article/view/246926,Engineering Access,ph02.tci-thaijo.org,"… In this section, various simulations are performed using Synopsys Saber 2012 software, and … , more reliability, and higher power density robot power supply compared to conventional Si …",0,
Systematic design of a 3-DOF dual-segment continuum robot for in situ maintenance in nuclear power plants,2022,"G Li, J Yu, D Dong, J Pan, H Wu, S Cao, X Pei, ...",https://www.mdpi.com/2075-1702/10/7/596,Machines,mdpi.com,"… performance of the continuum robot, a dual-segment continuum robot with rolling joints in … of the continuum robot are shown in Table 1. The arm body of the continuum robot is divided …",12,"https://scholar.google.com/scholar?cites=13940312527899957221&as_sdt=2005&sciodt=0,5&hl=en"
6-DOF bilateral teleoperation hybrid control system for power distribution live-line operation robot,2022,"Y Chen, Y Wang, X Tang, K Wu, S Wu, R Guo, Y Zhao, ...",https://www.mdpi.com/2075-1702/11/1/2,Machines,mdpi.com,"… without power failure, thus, ensuring uninterrupted power … develop a power distribution live-line operation robot (PDLOR… The overall hardware and software configuration during the …",5,"https://scholar.google.com/scholar?cites=5513089611574640010&as_sdt=2005&sciodt=0,5&hl=en"
Considerations for the testing and validation of a mobile damping robot for overhead power lines,2022,"A Choi, PC Kakou, O Barry",https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2022/86311/1150712,… and Information in …,asmedigitalcollection.asme.org,"… power line conductors, they have not been in the context of interactions between the conductor and a mobile damping robot (… Siemens Simcenter Testlab software was used to interface …",5,"https://scholar.google.com/scholar?cites=5905049104576880283&as_sdt=2005&sciodt=0,5&hl=en"
Precise motion control of a power line inspection robot using hybrid time delay and state feedback control,2022,"AB Alhassan, X Zhang, H Shen, H Xu, ...",https://www.frontiersin.org/articles/10.3389/frobt.2022.746991/full,Frontiers in Robotics …,frontiersin.org,"… Thus, an approach for precise motion control of the sliding inspection robot is presented in … of the robot. The nonlinear and the linearized models of the sliding robot were established for …",7,"https://scholar.google.com/scholar?cites=15500655048146723411&as_sdt=2005&sciodt=0,5&hl=en"
