year,title,doi
2024,Smooth and Time-Optimal Trajectory Planning for Robots Using Improved Carnivorous Plant Algorithm,https://doi.org/10.3390/machines12110802
2023,Optimization of the grinding trajectory of the engine piston skirt robot based on machine vision,https://doi.org/10.1007/s42452-023-05323-w
2023,Multi-objective trajectory optimization of the 2-redundancy planar feeding manipulator based on pseudo-attractor and radial basis function neural network,https://doi.org/10.1080/15397734.2023.2245872
2023,Minimizing cycle time and energy consumption for a multi-degree serial manipulator using teaching–learning-based optimization,https://doi.org/10.1007/s40430-023-04192-z
2023,Optimizing Robotic Task Sequencing and Trajectory Planning on the Basis of Deep Reinforcement Learning,https://doi.org/10.3390/biomimetics9010010
2024,Simulation of the Digital Twin of the Technological Process of Creating a Demonstrator Using R-Pro Digital,https://doi.org/10.1109/ieeeconf60226.2024.10496776
2024,Optimal Energy Consumption Planning for Industrial Robots using Stochastic Gradient Descent based Federated Learning,https://doi.org/10.1109/icdsis61070.2024.10594680
2022,Robot Trajectory Planning Based on the Energy Management Strategy,https://doi.org/10.1155/2022/9597075
2024,Optimizing the Three-Dimensional Multi-Objective of Feeder Bus Routes Considering the Timetable,https://doi.org/10.3390/math12070930
2024,ID-Det: Insulator Burst Defect Detection from UAV Inspection Imagery of Power Transmission Facilities,https://doi.org/10.3390/drones8070299
2025,Dynamic Modeling and Analysis of a Flying–Walking Power Transmission Line Inspection Robot Landing on Power Transmission Line Using the ANCF Method,https://doi.org/10.3390/app15041863
2025,Neural networks and genetic algorithms-based self-adjustment system for a backstepping controller of an unmanned aerial vehicle,https://doi.org/10.1016/j.aej.2025.04.034
2024,Research on the Carbon Reduction Technology Path of the Iron and Steel Industry Based on a Multi-Objective Genetic Algorithm,https://doi.org/10.3390/su16072966
2024,Research on the Optimization Method of Visual Sensor Calibration Combining Convex Lens Imaging with the Bionic Algorithm of Wolf Pack Predation,https://doi.org/10.3390/s24185926
2025,Optimizing the Operational Process of a Social Robot for Elderly Assistance: Enhancing Reliability and Readiness,https://doi.org/10.3390/electronics14081630
2023,An Optimized Energy and Time Constraints-Based Path Planning for the Navigation of Mobile Robots Using an Intelligent Particle Swarm Optimization Technique,https://doi.org/10.3390/app13179667
2025,Technology and trust: A scoping review on AI-enabled orientation and mobility technologies for blind and visually impaired individuals,https://doi.org/10.1177/10554181251355426
2024,A computational fractional order model for optimal control of wearable healthcare monitoring devices for maternal health,https://doi.org/10.1016/j.health.2024.100308
2023,Investigating &amp; Uncovering the Future of Smart Residential Automation: A Historical Comprehensive Survey and Machine Learning Insights,https://doi.org/10.1109/smartgencon60755.2023.10441963
2024,Non-back-drivable clutch based self-locking mechanism of prosthetic joint to improve manipulation stability,https://doi.org/10.3389/fbioe.2024.1385076
2024,Attention-based Deep Learning model for Indoor Object Recognition Framework for Visually Impaired Individuals,https://doi.org/10.1109/iicccs61609.2024.10763601
2023,A Maintenance-Aware Approach for Sustainable Autonomous Mobile Robot Fleet Management,https://doi.org/10.1109/tmc.2023.3334589
2022,Table of Contents,https://doi.org/10.1109/acsos55765.2022.00004
2025,Upper-lower limb coordination and active posture compensation for transverse ledge brachiation robots,https://doi.org/10.1177/09544062251348298
2025,Experimental research of control moment gyroscope effect on bipedal robot walking trajectory,https://doi.org/10.1007/s40430-025-05477-1
2025,Two-stage energy efficiency optimization of ship speed and trim considering varying sea conditions and optimization frequency,https://doi.org/10.1016/j.oceaneng.2025.121956
2021,Design of a Dynamic Simulator for a Biped Robot,https://doi.org/10.1155/2021/5539123
2023,Parametric optimization of the cyclic pick-and-place operations of a single-link manipulator with active and passive actuators,https://doi.org/10.15407/apmm2023.21.64-71
2023,Optimization of the Parameters of Feet and the Laws of Motion of Bipedal Walking Robots,https://doi.org/10.1007/s10958-023-06342-z
2021,Design and construction of a bipedal robot prototype for experimentation in balance tests during the static standing phase,https://doi.org/10.1109/ccac51819.2021.9633322
2021,Estabilidad y control de sistemas mecánicos de base móvil,https://doi.org/10.31349/revmexfise.18.69
2023,Control Design for an Exoskeleton System Based on the Human Gait,https://doi.org/10.21203/rs.3.rs-3302417/v1
2020,Optimization of the feet parameters and motion laws of the bipedal walking robot,https://doi.org/10.15407/mmpmf2020.63.1.181-200
2022,Design and construction of a bipedal robot for gait experimentation,https://doi.org/10.46571/jci.2022.2.3
2021,Generación de trayectorias de marcha para un robot humanoide a partir de captura de movimiento,https://doi.org/10.19053/01217488.v12.n2.2021.12446
2025,"State-of-the-Art Review on the Application of Unmanned Aerial Vehicles (UAVs) in Power Line Inspections: Current Innovations, Trends, and Future Prospects",https://doi.org/10.3390/drones9040265
2021,Enhanced ant colony algorithm with communication mechanism for mobile robot path planning,https://doi.org/10.1016/j.robot.2021.103949
2022,A survey on the application of path-planning algorithms for multi-rotor UAVs in precision agriculture,https://doi.org/10.1017/s0373463321000825
2021,Multi-Tour Set Traveling Salesman Problem in Planning Power Transmission Line Inspection,https://doi.org/10.1109/lra.2021.3091695
2025,A signal temporal logic approach for task-based coordination of multi-aerial systems: A wind turbine inspection case study,https://doi.org/10.1016/j.robot.2024.104905
2023,MRS Drone: A Modular Platform for Real-World Deployment of Aerial Multi-Robot Systems,https://doi.org/10.1007/s10846-023-01879-2
2023,UAVs Beneath the Surface: Cooperative Autonomy for Subterranean Search and Rescue in DARPA SubT,https://doi.org/10.55417/fr.2023001
2023,Benchmark Evaluation of Hybrid Fixed-Flapping Wing Aerial Robot With Autopilot Architecture for Autonomous Outdoor Flight Operations,https://doi.org/10.1109/lra.2023.3280753
2024,Radial basis function neural networks for formation control of unmanned aerial vehicles,https://doi.org/10.1017/s0263574724000559
2024,A Multi-UAV Route Planning Method for Fast Inspection of Electric Power Transmission Lines,https://doi.org/10.1109/icuas60882.2024.10556920
2022,Mission Planning and Execution in Heterogeneous Teams of Aerial Robots supporting Power Line Inspection Operations,https://doi.org/10.1109/icuas54217.2022.9836234
2024,Sequential control barrier functions for mobile robots with dynamic temporal logic specifications,https://doi.org/10.1016/j.robot.2024.104681
2023,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,https://doi.org/10.3390/drones7070471
2025,Efficient relative localization and coordination system for unmanned ground vehicle formations under directed graph structure,https://doi.org/10.1017/s026357472500013x
2025,Drone-based fault recognition in power systems: a systematic review of intelligent methods,https://doi.org/10.1007/s42452-025-06774-z
2025,A Multi-UAV Approach for Fast Inspection of Overhead Power Lines: From Route Planning to Field Operation,https://doi.org/10.1007/s10846-025-02277-6
2022,MRS Modular UAV Hardware Platforms for Supporting Research in Real-World Outdoor and Indoor Environments,https://doi.org/10.1109/icuas54217.2022.9836083
2023,A Signal Temporal Logic Motion Planner for Bird Diverter Installation Tasks With Multi-Robot Aerial Systems,https://doi.org/10.1109/access.2023.3300240
2024,Synthesis of Temporally-Robust Policies for Signal Temporal Logic Tasks using Reinforcement Learning,https://doi.org/10.1109/icra57147.2024.10610510
2021,Optimum Trajectory Planning for Multi-Rotor UAV Relays with Tilt and Antenna Orientation Variations,https://doi.org/10.23919/eusipco54536.2021.9616232
2023,Communications-Aware Robotics: Challenges and Opportunities,https://doi.org/10.1109/icuas57906.2023.10155882
2022,Adaptive finite-time event-triggered command filtered control for nonlinear systems with unknown control directions,https://doi.org/10.1007/s11071-022-07573-6
2022,A Perception-Aware NMPC for Vision-Based Target Tracking and Collision Avoidance with a Multi-Rotor UAV,https://doi.org/10.1109/icuas54217.2022.9836071
2024,Flying in Narrow Spaces: Prioritizing Safety With Disturbance-Aware Control,https://doi.org/10.1109/lra.2024.3401127
